,CAS,Name,Formula,Mw,Elements,SMILES,InChi
0,100-00-5,"Benzene, 1-chloro-4-nitro-",C6H4ClNO2,156.9930560549014,"['C', 'H', 'Cl', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1,100-01-6,p-Nitroaniline,C6H6N2O2,138.0429274414414,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
2,100-02-7,"Phenol, 4-nitro-",C6H5NO3,139.0269430243421,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
9,100-06-1,"Acetophenone, 4'-methoxy-",C9H10O2,150.0680795615334,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
24,100-10-7,"Benzaldehyde, 4-(dimethylamino)-",C9H11NO,149.08406397863268,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
32,100-14-1,4-Nitrobenzyl chloride,C7H6ClNO2,171.0087061193794,"['C', 'H', 'Cl', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
48,100-18-5,"Benzene, 1,4-bis(1-methylethyl)-",C12H18,162.14085058030201,"['C', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
78,10024-97-2,Nitrous oxide,N2O,44.0010626284357,"['N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
129,10031-87-5,"Acetic acid, 2-ethylbutyl ester",C8H16O2,144.1150297549674,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
162,100-37-8,"Ethanol, 2-(diethylamino)-",C6H15NO,117.1153641075887,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
